"","word1","hit1","hit1_n","hit2","hit2_n","hit3","hit3_n","ngram_n"
"333","brother","and",148,"is",83,"in",72,1510
"334","parking","lot",251,"garage",21,"is",21,626
"335","here","in",1197,"is",1181,"and",922,14130
"336","such","a",2879,"as",1578,"an",465,7361
"337","mcfly","almost",1,"fans",1,"favorite",1,6
"338","laugher","at",1,"ha",1,NA,NA,2
"339","ha","ha",377,"i",157,"rt",44,1761
"340","jerry","springer",13,"brown",9,"lewis",8,234
"341","seinfeld","is",5,"and",2,"episode",2,25
"342","chelsea's","answer",1,"best",1,"birthday",1,6
"343","best","of",619,"friend",590,"to",405,11649
"344","addition","to",436,"of",66,"the",32,748
"345","what's","up",506,"the",445,"your",420,3568
"346","stoked","to",56,"for",45,"about",22,223
"347","hanging","out",386,"with",98,"in",59,925
"348","learning","to",158,"about",136,"how",97,1750
"349","cheez's","life",1,NA,NA,NA,NA,1
"350","keep","it",687,"the",611,"up",514,8306
"351","mind","and",259,"that",209,"is",187,4132
"352","drive","to",162,"in",79,"a",68,2026
"353","smart","and",84,"phone",43,"enough",42,943
"354","everyone","is",516,"who",457,"else",424,7115
"355","feel","like",2247,"the",558,"better",406,9690
"356","smile","and",152,"on",134,"i",42,1346
"357","quite","a",693,"the",184,"well",80,3616
"358","bit","of",1473,"more",336,"and",115,4971
"359","awesome","i",192,"and",174,"thanks",101,4750
"360","haven't","been",373,"seen",270,"had",153,2578
"361","ran","out",143,"into",117,"a",90,1145
"362","into","the",4689,"a",2427,"my",727,17565
"363","issues","with",111,"of",93,"that",92,1418
"364","its","a",619,"not",464,"own",432,14904
"365","acceptable","to",31,"and",11,"for",11,203
"366","cute","and",146,"little",95,"i",79,1791
"367","babies","and",50,"are",29,"in",20,557
"368","fart","in",9,"on",7,"and",5,85
"369","come","to",1924,"on",1042,"back",874,12940
"370","old","and",309,"man",272,"school",214,8146
"371","exactly","what",427,"the",196,"how",108,1905
"372","r","u",394,"b",95,"the",54,2348
"373","meds","and",13,"are",5,"i",5,108
"374","her","to",723,"and",607,"own",524,27731
"375","illness","and",25,"or",11,"the",7,182
"376","that's","a",849,"what",759,"the",672,9650
"377","did","you",2655,"not",1893,"i",1094,15587
